ID,Cross,RIX_ID,Sex,Cohort,Date of Assay,Treatment,Timepoint,Number of cells,MM R1 singles,MM R2 Viable Cells,MM R3 LCA+ non-AF cells,MM R3 LCA+ AF cells,MM R5 CD11c+ cells,MM R6 Neutrophils,MM R7 SigLecF+ cells,MM R7 R8 Alveolar Macs,MM R8 Eosinophils,MM R9 P DCs,MM R10 Mo DCs,MM R11 CD11b Hi DCs,MM R12 Monocytes,MM R13 Lymphocytes,MM R14 Ly 6C Low Monos,MM R15 Ly 6C Hi Monos,LYM R1 Singles,LYM R2 Viable Cells,LYM R3 Viable Lcs,LYM R4 LCA+ lcs,LYM R5 T Cells,LYM R6 CD4 T Cells,LYM R7 CD8 T Cells,LYM R8 B Cells,LYM R9 NK Cells,DC R1 Singles,DC R2 Viable Cells,DC R3 LCA+ cells,DC R3 R4 lin- cells,DC R4 Lin Pos Cells,DC R5 CD11c+ cells,DC R6 CD8 DCs,DC R7 CD103 DCs,DC R8 CD205 DCs,DC R9 CD326 DCs,DC R10 CD205+ CD103- DCs,DC R12 CD205+ CD103+ DCs,DC R12 CD205- CD103- DCs,DC R13 CD205- CD103+ DCs,Notes
8002x3032_104,8002x3032,,f,8_13viii,2013-08-23,Mock,4,2010000,182450,133174,43271,43267,38541,4791,24334,10939,10802,15,4897,1859,5244,38476,4426,808,129446,100071,69473,45474,13045,8516,2958,9068,3241,174257,121850,79753,47628,32125,13037,120,516,78,1017,3471,561,594,14,
16188x8005_114,16188x8005,,f,12_13xii,2013-12-12,Mock,4,2050000,158716,104370,33376,36900,35114,4382,20932,18000,26655,69,2792,2135,9653,21402,4408,3931,121749,81250,43638,,9772,5479,2766,7437,2915,162985,114432,126072,97047,29025,22050,38,554,17,945,61,61,5232,475,
16188x8005_117,16188x8005,,f,12_13xii,2013-12-12,Mock,4,2280000,150234,96502,34529,33955,34643,3343,18347,12832,29094,382,3232,3125,10950,21998,5325,3921,137235,96184,50693,,8605,4789,2408,7375,1813,132456,90345,98481,72931,25550,16611,21,564,5,780,29,64,5462,462,
16188x8005_118,16188x8005,,f,12_13xii,2013-12-12,Mock,4,481000,79037,38940,15251,16500,15880,1726,11112,9349,13004,61,969,480,4010,9919,1531,1971,64935,38792,20010,,6175,3614,1649,4495,1550,71735,39658,48624,35574,13050,9618,11,98,15,209,18,59,2155,88,
18042x3032_115,18042x3032,,f,12_13xii,2013-12-12,Mock,4,1650000,114536,70528,18751,30770,26964,3211,17612,14192,17395,8,3696,1136,4776,11812,1963,2713,131563,96685,47881,,11615,6827,2661,6359,2201,100442,66979,77563,61489,16074,13771,21,507,9,671,24,34,2986,476,
18042x3032_116,18042x3032,,f,12_13xii,2013-12-12,Mock,4,252000,60924,31773,9173,16074,14137,1680,9785,8232,7813,7,1772,314,2913,5553,1410,1454,72759,44221,21398,,5411,2988,1171,3559,1317,77398,43675,53917,42647,11270,11379,38,178,15,537,30,44,2967,152,
18042x3032_117,18042x3032,,f,12_13xii,2013-12-12,Mock,4,2280000,124535,76390,17853,31281,28350,4255,16008,13953,13680,25,4724,1396,6228,10427,3287,2860,141131,94685,48089,,8690,4600,1576,5065,2560,127633,81936,88709,72384,16325,18955,29,572,5,853,21,37,6421,543,
3252x8002_124,3252x8002,,f,12_13xii,2013-12-12,Mock,4,2610000,178458,119766,38610,47933,46365,7056,27918,22823,35048,8,6109,3548,8657,26983,2866,5287,141241,105668,51922,,16366,10919,2473,5091,4190,145273,103961,116355,92357,23998,25222,90,675,8,1360,151,72,7830,618,
3252x8002_125,3252x8002,,f,12_13xii,2013-12-12,Mock,4,3880000,158558,103845,27483,43874,45047,6547,27522,24953,20666,25,4770,2402,9386,17597,3832,4640,128509,97523,44812,,12729,7377,2250,5509,4194,117830,82328,90493,73503,16990,22533,24,631,5,941,116,74,5188,581,
3252x8002_129,3252x8002,,f,12_13xii,2013-12-12,Mock,4,2020000,185886,111904,34819,40306,37361,6150,20312,14297,32770,22,6151,2945,8064,24289,3127,4248,145677,100775,50450,,14074,8892,2631,7270,4002,153985,101288,105918,84310,21608,15516,25,456,10,1117,136,131,5429,424,
16513x16188_40,16513x16188,,f,12_13xii,2014-12-13,Mock,4,237000,35272,30182,24784,,10083,2462,9133,4710,4299,25,1847,251,3667,9566,424,3243,87858,79445,59514,49187,16155,10803,4487,7240,2055,83938,55275,47732,28133,19599,13519,21,128,416,744,590,586,6036,128,
16513x16188_44,16513x16188,,f,12_13xii,2014-12-13,Mock,4,2070000,90725,76668,46212,,15707,5857,10958,4424,6255,23,5311,1507,8095,18435,1592,6503,97688,86391,70581,43674,13824,9476,3087,4791,1175,198974,143673,87976,52827,35149,22605,44,813,118,3588,411,463,14177,979,
16513x16188_45,16513x16188,,f,12_13xii,2014-12-13,Mock,4,899000,20026,16550,13488,,6715,1073,5857,4687,1019,8,912,98,1345,4747,128,1217,73234,62988,47748,38186,13454,9631,3468,4233,1109,107306,74097,62136,36873,25263,22190,23,96,168,593,211,387,4345,119,
3609x5119_59,3609x5119,,f,12_13xii,2014-12-13,Mock,4,170000,70575,56739,36812,,10838,3904,4436,3291,1093,44,6119,840,5973,16759,3582,2391,46567,41360,35261,24638,6964,4192,2482,4180,1227,112198,64425,44118,24767,19351,9522,16,549,5,1112,111,495,5359,573,
3609x5119_60,3609x5119,,f,12_13xii,2014-12-13,Mock,4,266000,89153,76165,51734,,20549,8048,8489,6485,1898,33,12766,527,7416,17242,3328,4088,107378,94793,79510,55345,12480,6991,4953,6112,1723,28830,19150,13093,8853,4240,3060,8,45,2,227,81,158,1461,73,
3609x5119_61,3609x5119,,f,12_13xii,2014-12-13,Mock,4,677000,96305,80538,56443,,24824,5241,13417,12236,1065,38,8947,532,7863,19921,4921,2942,88611,74510,61177,41766,10346,5846,3955,5936,1851,30316,18378,12651,7538,5113,3813,2,143,6,282,28,122,2091,144,
